ORDEN;FECHA COMPRA;CANTIDAD;CODIGO;DETALLE;COMPRA;DIVIDIDO
91;23/10/2025;1;000000014545;000000014545 - PORRA PLASTICA FLUO MULTICOLOR x50;10332;50
92;01/01/2025;0;779819415690;779819415690 - POLVO BOMBUCHA MULTICOLOR  x10  56902;4470,28;10
93;23/10/2025;1;000000050266;000000050266 - PLATO GRANDE ROSA P22 x25u. E.A;2250,17;25
94;01/01/2025;0;000000050128;000000050128 - PLATO GRANDE BLANCO P22 x25u. B.P;2225,38;25
95;01/01/2025;0;000000050268;000000050268 - PLATO GRANDE AMARILLO P22 x25u. E.A;2250,17;25
96;01/01/2025;0;779905100586;779905100586 - PLATO COMUNION CALIZ CON ESPIGA x8 GM 9158;1379,03;1
97;23/10/2025;1;000000029080;000000029080 - PLATO CHICO ROSA x50 B.P;2128,51;50
98;23/10/2025;2;779810257065;779810257065 - PLATO CHICO BLANCO P17 x50 B.P.;1552,41;50
99;01/01/2025;0;000000041525;000000041525 - PLATO CHICO AMARILLO P17 x50 E.A;2128,51;50
100;01/01/2025;0;695898651308;695898651308 - PITO REFERI COLOR x12 JB1308;1872,72;12
101;01/01/2025;0;000000008144;000000008144 - PITO MULTICOLOR PREFA-PLAST x144;5990,96;144
102;01/01/2025;0;000000041941;"000000041941 - PIÑATA GLOBO SUPER 24"" RAYADA AMARILLO x3 FUNNY";2570,4;3
103;23/10/2025;1;000000047866;"000000047866 - PIÑATA GLOBO SUPER 24"" MARMOLADA AZUL x3 FUNNY";2570,4;3
104;23/10/2025;1;000000042161;"000000042161 - PIÑATA GLOBO SUPER 24"" LISA ROSA x3 FUNNY";2570,4;3
105;01/01/2025;0;000000041937;"000000041937 - PIÑATA GLOBO GIGANTE 36"" RAYADA NARANJA x3 FUNNY";3876;3
106;23/10/2025;1;000000042614;"000000042614 - PIÑATA GLOBO GIGANTE 36"" LISA ROSA x3 FUNNY";3876;3
107;23/10/2025;1;000000053076;"000000053076 - PIÑATA GLOBO GIGANTE 36"" LISA AZUL x3 FUNNY";3876;3
108;23/10/2025;1;000000047519;000000047519 - PINCHE FIBROFACIL MIS 18 PLATEADO x1;1066,5;1
109;23/10/2025;2;000000042764;000000042764 - PINCHE FIBROFACIL FRASE FELIZ CUMPLEAÑOS PLATEADA x1 ART.291;1066,5;1
110;23/10/2025;1;000000042763;000000042763 - PINCHE FIBROFACIL FRASE FELIZ CUMPLEAÑOS DORADA x1 ART.291;1066,5;1
111;23/10/2025;1;000000049878;000000049878 - PINCHE FIBROFACIL FRASE FELIZ CUMPLE. NEGRA x1 ART.297;1066,5;1
112;23/10/2025;1;609819417375;609819417375 - PINCHE ADORNO FELIZ CUMPLEAÑOS PLATA PARTY TIME  x1 73758;873,1;1
113;23/10/2025;1;609819417376;609819417376 - PINCHE ADORNO FELIZ CUMPLEAÑOS DORADO PARTY TIME  x1 73765;873,1;1
114;01/01/2025;0;779836371146;779836371146 - PICO/BOQUILLA PARA HOJAS PARPEN x1 114;3408,37;1
115;01/01/2025;0;000000040544;000000040544 - PICO COOPER COMUN REDONDO 2 x5u;9526,14;5
116;01/01/2025;0;682012618591;682012618591 - PETALOS DE ROSA BLANCO x100 aprox. 1859-1;382,2;1
117;01/01/2025;0;690592224545;690592224545 - PELUCA METALIZADA FUCSIA x1 DG4545A/FU;630;1
118;01/01/2025;0;779814797300;779814797300 - PELUCA LACIA LARGA CASTAÑO x1 R.R. PLLCA PS;3530,33;1
119;01/01/2025;0;779814797287;779814797287 - PELUCA LACIA CORTA PLATINADA / BLANCA x1 R.R. PLCPLA  PS;3029,25;1
120;01/01/2025;0;000000037509;000000037509 - PELOTITAS DE TELGOPOR PARA DECORACION X1 BLANCA;970,65;1
